brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
TOYOTA,CROWN,28,1600000.0,42432500.0,49908000.0,15304416.5485366,1981,2025,48308000.0,0.3606767583464703,1.1384669769634124
TOYOTA,SPRINTER,10,1225000.0,2665000.0,3795000.0,954440.6447990591,1985,2003,2570000.0,0.3581390787238496,0.9643527204502814
NISSAN,AD WAGON,26,650000.0,2250000.0,3000000.0,805634.3919585668,1983,2003,2350000.0,0.35805972975936307,1.0444444444444445
TOYOTA,AQUA,192,6580000.0,7600000.0,17592000.0,2716964.393834745,2012,2025,11012000.0,0.35749531497825593,1.4489473684210525
NISSAN,B12,6,600000.0,1187500.0,1850000.0,421129.4337849113,1987,1990,1250000.0,0.3546353126609779,1.0526315789473684
TATA,INDICA,25,750000.0,1525000.0,2730000.0,535095.6300824492,2003,2015,1980000.0,0.35088238038193387,1.298360655737705
NISSAN,B11,27,550000.0,780000.0,1462500.0,273527.25818218006,1983,1989,912500.0,0.350675972028436,1.169871794871795
MICRO,MX7,18,1000000.0,2633750.0,3500000.0,897427.6169220441,2007,2014,2500000.0,0.34074138278957533,0.9492168960607499
DAIHATSU,CHARADE,12,750000.0,1180000.0,1953125.0,399613.52364067355,1986,2006,1203125.0,0.3386555285090454,1.0195974576271187
TOYOTA,PASSO,67,1375000.0,4800000.0,9581250.0,1598796.975313598,2004,2019,8206250.0,0.33308270319033295,1.7096354166666667
TATA,INDIGO,10,890625.0,1853125.0,2965625.0,606210.2650208644,2006,2016,2075000.0,0.32712864216977505,1.1197301854974704
MITSUBISHI,LANCER C12,5,520000.0,690000.0,1065000.0,219647.44478368055,1985,1990,545000.0,0.31832963012127613,0.7898550724637681
NISSAN,CEFIRO,10,3095000.0,3425000.0,5675000.0,1086827.7296282465,1999,2007,2580000.0,0.3173219648549625,0.7532846715328467
MERCEDES-BENZ,C180,12,6184375.0,11470000.0,17689375.0,3634829.945274002,2002,2016,11505000.0,0.3168988618373149,1.0030514385353095
KIA,SEPHIA,7,850000.0,1780000.0,2500000.0,555012.8698636508,1999,2002,1650000.0,0.31180498306946675,0.9269662921348315
DAIHATSU,TAFT,25,10011000.0,84070000.0,96800000.0,26166869.844455346,2023,2025,86789000.0,0.311250979474906,1.0323420958724872
NISSAN,PULSAR,32,825000.0,2394166.6665000003,3650000.0,737909.2278335817,1982,2000,2825000.0,0.3082113029801393,1.1799512705311486
MITSUBISHI,LANCER BOX,56,440000.0,985000.0,1714910.714,303084.4276999218,1980,1990,1274910.714,0.3076999265989054,1.2943255979695432
AUDI,A6,32,4800000.0,38357000.0,44554000.0,11569681.640263768,2001,2025,39754000.0,0.30163155721938023,1.0364209922569545
TOYOTA,COROLLA 2,13,1175000.0,1550000.0,2432500.0,467034.68204274646,1987,1996,1257500.0,0.3013126980920945,0.8112903225806452
MERCEDES-BENZ,S-CLASS,20,80738000.0,111587500.0,163723000.0,33604390.868174545,2024,2025,82985000.0,0.30114834428743853,0.7436764870617228
NISSAN,SUNNY FB14,8,1065625.0,2570000.0,3000000.0,770606.6972974235,1995,1999,1934375.0,0.29984696392895854,0.7526750972762646
AUDI,A4,39,3150000.0,23407000.0,27731000.0,6991884.942265853,1999,2025,24581000.0,0.2987091443698831,1.0501559362583843
TOYOTA,PREMIO,109,3725000.0,13250000.0,21000000.0,3910817.5548247444,1998,2019,17275000.0,0.2951560418735656,1.3037735849056604
TOYOTA,STARLET,37,1050000.0,2850000.0,3980000.0,841076.5704198473,1982,2002,2930000.0,0.29511458611222713,1.0280701754385966
PROTON,WIRA,15,600000.0,1595000.0,2200000.0,459363.10723186546,1993,2005,1600000.0,0.28800194810775265,1.0031347962382444
NISSAN,MARCH K10,7,650000.0,1050000.0,1375000.0,299527.4055352309,1987,1991,725000.0,0.28526419574783896,0.6904761904761905
