brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
LAND ROVER,RANGE ROVER VELAR HSE,40,70977000.0,82063000.0,89457000.0,5749380.287173434,2010,2023,18480000.0,0.07006056672524077,0.22519283964758782
TESLA,CYBERTRUCK AWD,40,63656000.0,71861000.0,84788000.0,5154632.940996892,2022,2026,21132000.0,0.07173060409675473,0.29406771405908627
TESLA,CYBERTRUCK CYBERBEAST,40,90638000.0,109366500.0,124653000.0,9440396.245893871,2022,2026,34015000.0,0.08631890246002086,0.31101845629146035
TESLA,MODEL 3 HIGHLAND LONG RANGE,40,28774000.0,31945000.0,33897000.0,1307004.7316631041,2022,2026,5123000.0,0.04091421917868537,0.16036938488026295
TESLA,MODEL 3 HIGHLAND PERFORMANCE,40,31207000.0,34399500.0,36856000.0,1552939.862127505,2022,2026,5649000.0,0.045144256809764825,0.16421750316138317
TESLA,MODEL 3 HIGHLAND RWD,40,24707000.0,27293500.0,28890000.0,1078493.2268607991,2022,2026,4183000.0,0.039514654656266114,0.15325993368384414
TESLA,MODEL S DUAL MOTOR,40,43446000.0,49922500.0,54707000.0,2588250.1162180156,2022,2026,11261000.0,0.051845362636446804,0.22556963293104312
TESLA,MODEL S PLAID,40,53711000.0,57806000.0,64270000.0,2850340.978140451,2022,2026,10559000.0,0.04930873919905288,0.18266269937376742
TESLA,MODEL X DUAL MOTOR,40,46511000.0,53191000.0,57502000.0,2545474.5553981606,2022,2026,10991000.0,0.047855361910815,0.20663270102084938
TESLA,MODEL X PLAID,40,53136000.0,62004500.0,67494000.0,4122248.421130491,2022,2026,14358000.0,0.06648305237733537,0.23156383810852438
TESLA,MODEL Y HIGHLAND LONG RANGE,40,29294000.0,33565000.0,35769000.0,1519364.8799618662,2022,2026,6475000.0,0.04526634529902774,0.19290928050052136
TESLA,MODEL Y HIGHLAND PERFORMANCE,40,33024000.0,36923500.0,39050000.0,1473421.7786569148,2022,2026,6026000.0,0.03990471593042141,0.163202296640351
TESLA,MODEL Y HIGHLAND RWD,40,24968000.0,28128000.0,30369000.0,1419880.051813693,2022,2026,5401000.0,0.050479239612261556,0.1920150739476678
AUDI,A4,39,3150000.0,23407000.0,27731000.0,6991884.942265853,1999,2025,24581000.0,0.2987091443698831,1.0501559362583843
CHERY,QQ,39,857500.0,1285000.0,1837500.0,241899.13681540452,2006,2017,980000.0,0.18824835549836927,0.7626459143968871
NISSAN,N16,39,2262500.0,3690000.0,5382500.0,721447.619534084,1999,2011,3120000.0,0.19551426003633712,0.8455284552845529
TOYOTA,AXIO WXB,39,12600000.0,13900000.0,15990000.0,1072138.023326463,2016,2019,3390000.0,0.07713223189399016,0.24388489208633093
KIA,RIO,38,1170625.0,2162500.0,3265625.0,536988.1873311175,2000,2021,2095000.0,0.24831823691612367,0.96878612716763
TOYOTA,AXIO G GRADE,38,7350000.0,9450000.0,12200000.0,1747941.4629933278,2006,2016,4850000.0,0.18496735058130453,0.5132275132275133
TOYOTA,STARLET,37,1050000.0,2850000.0,3980000.0,841076.5704198473,1982,2002,2930000.0,0.29511458611222713,1.0280701754385966
HONDA,GRACE,36,7575000.0,10437500.0,12725000.0,1177616.2311650324,2014,2018,5150000.0,0.11282550717748813,0.4934131736526946
HONDA,INSIGHT,36,6400000.0,7250000.0,8931250.0,544052.8805073451,2009,2013,2531250.0,0.07504177662170276,0.34913793103448276
BAIC,BJ30 HYBRID,35,14568000.0,16003000.0,17254000.0,726591.0851655289,2024,2026,2686000.0,0.0454034296797806,0.1678435293382491
BAIC,BJ40 PLUS,35,12624000.0,14282000.0,16191000.0,938485.9628790446,2024,2026,3567000.0,0.06571110228812803,0.2497549362834337
BAIC,EU5 SEDAN,35,12325000.0,13605000.0,15393000.0,997111.8106938706,2024,2026,3068000.0,0.07329010001424996,0.22550532892319
BAIC,X55 II HONOUR,35,14117000.0,15426000.0,16410000.0,683171.3455605101,2024,2026,2293000.0,0.04428700541686179,0.14864514456113057
BAIC,X55 II LUXURY,35,12169000.0,13903000.0,14772000.0,596447.4802014454,2024,2026,2603000.0,0.042900631532866676,0.18722577860893333
BAW,E6 EV,35,4029000.0,4660000.0,4999000.0,218337.53839472702,2024,2026,970000.0,0.046853549011743996,0.20815450643776823
BAW,E7 EV,35,4276000.0,4823000.0,5136000.0,224932.32222122228,2024,2026,860000.0,0.04663742944665608,0.1783122537839519
BAW,E7 PRO,35,5292000.0,6004000.0,6460000.0,320795.458275862,2024,2026,1168000.0,0.053430289519630574,0.19453697534976683
BAW,M8 REEV MPV,35,20181000.0,21749000.0,23497000.0,877416.085192551,2024,2026,3316000.0,0.040342824276635755,0.15246678008184283
DEEPAL,E07 PREMIUM,35,27816000.0,30842000.0,32396000.0,1223263.3665182414,2024,2026,4580000.0,0.0396622581712678,0.1484988003372025
DEEPAL,L07 RWD,35,16950000.0,18250000.0,19390000.0,736242.2612339589,2024,2026,2440000.0,0.040342041711449804,0.1336986301369863
DEEPAL,LUMIN STANDARD,35,6189000.0,7080000.0,7435000.0,350069.7889605121,2024,2026,1246000.0,0.049444885446400015,0.17598870056497176
DEEPAL,S05 MAX,35,14950000.0,17033000.0,18433000.0,967712.9479240368,2024,2026,3483000.0,0.056814005044562715,0.2044854106733987
DEEPAL,S07 RWD,35,17382000.0,19566000.0,20949000.0,1086389.1985638938,2024,2026,3567000.0,0.05552433806418756,0.18230604109168966
DFSK,GLORY 330,35,4115000.0,5806000.0,7830000.0,1294166.7271441729,2016,2023,3715000.0,0.22290160646644383,0.6398553220806062
DFSK,GLORY 330 COMFORT,35,8008000.0,8270000.0,8491000.0,163366.77300175946,2020,2024,483000.0,0.019754144256561,0.05840386940749698
DFSK,GLORY 330 LUXURY,35,8530000.0,9087000.0,9497000.0,318622.4735831874,2024,2026,967000.0,0.03506354942040139,0.1064157587762738
DFSK,GLORY 580,35,7450000.0,8336000.0,9450000.0,607290.6465702932,2018,2023,2000000.0,0.07285156508760715,0.2399232245681382
DFSK,GLORY 580 PRO,35,8578000.0,9552000.0,10979000.0,793113.910879296,2018,2023,2401000.0,0.08303118832488443,0.2513609715242881
DFSK,GLORY I-AUTO,35,9806000.0,11799000.0,14723000.0,1571304.9370004588,2020,2024,4917000.0,0.13317272116284928,0.4167302313755403
DFSK,GLORY I-AUTO LIMITED EDITION,35,16144000.0,16542000.0,16786000.0,211515.13444867329,2024,2026,642000.0,0.012786551471930438,0.038810301051867974
GAC,AION ES,35,13693000.0,14733000.0,15714000.0,646854.5782308038,2024,2026,2021000.0,0.04390515022268403,0.13717504920925813
GAC,AION V QUATTRO,35,13958000.0,16048000.0,17444000.0,1101571.024804608,2024,2026,3486000.0,0.06864226226349751,0.2172233300099701
GAC,AION Y,35,13352000.0,15548000.0,16676000.0,851373.6680735877,2024,2026,3324000.0,0.05475776100293206,0.21378955492667867
GAC,E9 PHEV LUXURY,35,23242000.0,25609000.0,27976000.0,1496414.59619234,2024,2026,4734000.0,0.058433152258672336,0.18485688625092742
HAVAL,H6 GT,35,20311000.0,22848000.0,24412000.0,944864.6490593337,2024,2026,4101000.0,0.04135437014440361,0.1794905462184874
HAVAL,H6 HEV,35,17906000.0,19791000.0,21311000.0,901760.0232300141,2024,2026,3405000.0,0.04556414649234572,0.172047900560861
HAVAL,JOLION HEV,35,16069000.0,18069000.0,19403000.0,787201.7530468283,2024,2026,3334000.0,0.04356642609147315,0.18451491504787204
HAVAL,JOLION PREMIUM,35,13480000.0,15248000.0,16281000.0,601547.7278716658,2024,2026,2801000.0,0.03945092653932751,0.18369622245540398
JAECOO,C5 CROSSOVER,35,13906000.0,15820000.0,17235000.0,839492.485739715,2024,2026,3329000.0,0.053065264585317004,0.2104298356510746
JAECOO,J6 EV,35,16827000.0,19606000.0,20973000.0,1109340.7891872635,2024,2026,4146000.0,0.05658169892824969,0.2114658777925125
JAECOO,J7 PHEV,35,19498000.0,22178000.0,23418000.0,949803.1003380453,2024,2026,3920000.0,0.0428263639795313,0.17675173595454954
JETOUR,DASHING,35,14965000.0,17196000.0,17737000.0,748240.8422314252,2024,2026,2772000.0,0.04351249373292773,0.1612002791346825
JETOUR,T1 PHEV,35,19346000.0,21999000.0,23423000.0,961489.2728724225,2024,2026,4077000.0,0.043706044496223576,0.18532660575480703
JETOUR,T2 TRAVELER,35,20917000.0,23048000.0,24499000.0,1151259.2718082066,2024,2026,3582000.0,0.04995050641305999,0.155414786532454
JETOUR,X70 PLUS,35,16331000.0,18900000.0,19743000.0,818556.5877781202,2024,2026,3412000.0,0.04330987236921271,0.18052910052910054
NISSAN,FB13,35,1143750.0,1780000.0,2250000.0,286983.53495501046,1990,1998,1106250.0,0.16122670503090475,0.6214887640449438
PEUGEOT,2008 GT,35,20967000.0,22084000.0,23455000.0,642706.1785394393,2024,2026,2488000.0,0.029102797434316218,0.11266074986415504
PEUGEOT,206,35,1562000.0,2868000.0,24570000.0,6550122.876132704,1980,2008,23008000.0,2.2838643222220028,8.02231520223152
PEUGEOT,3008 ALLURE,35,13914000.0,15098000.0,16080000.0,566715.7884459797,2024,2026,2166000.0,0.037535818548548136,0.143462710292754
PEUGEOT,3008 GT,35,31439000.0,33364000.0,34480000.0,968370.6127808075,2024,2026,3041000.0,0.029024415920777112,0.0911461455460976
PEUGEOT,5008 ALLURE,35,15323000.0,16448000.0,17466000.0,567075.1465623738,2024,2026,2143000.0,0.03447684500014432,0.13028939688715954
PEUGEOT,5008 GT,35,34293000.0,36962000.0,38460000.0,1284906.462279154,2024,2026,4167000.0,0.03476290412529501,0.11273740598452464
PEUGEOT,RCZ,35,10024000.0,11410000.0,98380000.0,39973685.46076239,2012,2015,88356000.0,3.5033904873586668,7.74373356704645
SUZUKI,WAGON R STINGRAY J STYLE,35,5567361.111,5724545.455,5839583.333,77932.80872037435,2006,2016,272222.22200000007,0.013613798568461948,0.04755350868290032
HONDA,GRACE EX,34,7582500.0,10409583.335,12100000.0,1040936.9984125358,2014,2017,4517500.0,0.09999795043790152,0.4339751030006044
PEUGEOT,407,34,1517000.0,3862000.0,45920000.0,15396864.011122696,1980,2008,44403000.0,3.986759195008466,11.497410668047644
DAIHATSU,MOVE,33,3936250.0,71470000.0,87400000.0,29900756.140199564,2006,2025,83463750.0,0.418367932561908,1.1678151672030221
TOYOTA,WIGO,33,6400000.0,7291000.0,7970000.0,419415.7417097498,2017,2025,1570000.0,0.05752513258945958,0.21533397339185298
AUDI,A6,32,4800000.0,38357000.0,44554000.0,11569681.640263768,2001,2025,39754000.0,0.30163155721938023,1.0364209922569545
KIA,PICANTO,32,3393125.0,5593235.294,6875000.0,989910.727507134,2004,2017,3481875.0,0.17698356594599826,0.6225153809880111
NISSAN,PULSAR,32,825000.0,2394166.6665000003,3650000.0,737909.2278335817,1982,2000,2825000.0,0.3082113029801393,1.1799512705311486
LAND ROVER,DEFENDER 110 CLASSIC,31,56030000.0,74620000.0,92450000.0,11185098.035534427,1980,1994,36420000.0,0.1498941039337232,0.48807290270704906
NISSAN,MARCH,31,1806250.0,2850000.0,3636250.0,542311.6270430211,1988,2020,1830000.0,0.19028478141860392,0.6421052631578947
PEUGEOT,504,31,875000.0,2981000.0,17580000.0,3982280.0617639367,1980,2007,16705000.0,1.3358873068647892,5.603824220060383
TOYOTA,110,31,1650000.0,3245416.667,4500000.0,653340.8577689977,1996,2008,2850000.0,0.2013118575535428,0.8781615097313482
TOYOTA,COROLLA 110,31,2108750.0,3250000.0,4275000.0,453093.92672603,1995,2001,2166250.0,0.13941351591570153,0.6665384615384615
BMW,3 SERIES,30,27926000.0,32618000.0,37431000.0,2901791.5583783523,2024,2025,9505000.0,0.08896289037888136,0.2914035195290944
BMW,5 SERIES,30,32595000.0,38612000.0,48558000.0,5090957.714136548,2024,2025,15963000.0,0.13184910686150803,0.41342069822853
BMW,X1,30,23478000.0,27608500.0,32819000.0,2367543.050622676,2024,2025,9341000.0,0.08575413552430143,0.3383378307405328
FORD,FORD RANGER,30,22013000.0,25979500.0,31618000.0,2758709.410067579,2024,2025,9605000.0,0.10618793318068395,0.36971458265170615
FORD,RANGER,30,24675000.0,29887500.0,37100000.0,3436753.967697246,2024,2025,12425000.0,0.11498967687820146,0.41572563780844835
FORD,RANGER MS-RT,30,28827000.0,31624500.0,33365000.0,1194996.2828778813,2024,2025,4538000.0,0.037787041150939345,0.14349633986308083
FORD,RANGER RAPTOR,30,28710000.0,31669500.0,37793000.0,2249527.1646210044,2024,2025,9083000.0,0.07103134449931335,0.2868059173652884
FORD,RANGER STORMTRAK,30,26510000.0,29067500.0,30875000.0,1200522.69459177,2024,2025,4365000.0,0.04130120218772753,0.15016771308162036
FORD,TERRITORY,30,16539000.0,18416500.0,20729000.0,966530.808328568,2024,2025,4190000.0,0.05248178580775761,0.22751337116172998
MERCEDES-BENZ,GLB,30,18384000.0,23952000.0,31342000.0,3829681.5185251804,2024,2025,12958000.0,0.15988984295779812,0.540998663994656
TOYOTA,IST,30,4500000.0,5410000.0,10325000.0,1347033.1916995326,2002,2023,5825000.0,0.2489894993899321,1.076709796672828
AUDI,A3,29,13900000.0,17840000.0,19818000.0,1724241.065289749,2018,2025,5918000.0,0.0966502839287976,0.3317264573991031
LAND ROVER,DISCOVERY SPORT,29,25746000.0,35844000.0,48919000.0,7226533.044097871,2010,2023,23173000.0,0.20161067526218812,0.6464959267938846
MITSUBISHI,LANCER,29,375000.0,1150000.0,2387500.0,621233.910507678,1980,2012,2012500.0,0.5402034004414592,1.75
NISSAN,BLUEBIRD,29,700000.0,2300000.0,4050000.0,889241.3590141211,1982,2004,3350000.0,0.3866266778322266,1.4565217391304348
AUDI,A3 SPORTBACK,28,12500000.0,18171500.0,20361000.0,1758248.7589680518,2017,2025,7861000.0,0.09675859224434151,0.43260050078419504
NISSAN,SUNNY,28,635000.0,1787500.0,4375000.0,1138311.4920398777,1982,2003,3740000.0,0.636817617924407,2.0923076923076924
TOYOTA,AQUA S GRADE,28,6590000.0,7671000.0,8650000.0,590131.3158536922,2012,2015,2060000.0,0.07693016762530208,0.2685438665102333
TOYOTA,CROWN,28,1600000.0,42432500.0,49908000.0,15304416.5485366,1981,2025,48308000.0,0.3606767583464703,1.1384669769634124
NISSAN,B11,27,550000.0,780000.0,1462500.0,273527.25818218006,1983,1989,912500.0,0.350675972028436,1.169871794871795
NISSAN,LEAF,27,3975000.0,5350000.0,7423750.0,993913.7984439086,2012,2018,3448750.0,0.18577828008297356,0.6446261682242991
NISSAN,TRAD SUNNY,27,1038750.0,1425000.0,1630000.0,178611.97234064917,1986,1997,591250.0,0.12534173497589415,0.4149122807017544
TOYOTA,ROOMY,27,8490000.0,11862000.0,13740000.0,1097603.1319778734,2017,2025,5250000.0,0.0925310345622891,0.4425897824987355
LAND ROVER,DEFENDER 90 CLASSIC,26,46040000.0,62165000.0,83820000.0,12137222.600806927,1980,1994,37780000.0,0.19524205904941572,0.6077374728545001
LAND ROVER,DISCOVERY 1,26,25430000.0,35995000.0,47830000.0,7565707.338938081,1980,1995,22400000.0,0.21018772993299292,0.6223086539797194
LAND ROVER,RANGE ROVER CLASSIC,26,35590000.0,43365000.0,65310000.0,8075089.835175449,1980,1995,29720000.0,0.1862121488568073,0.6853453245705061
NISSAN,AD WAGON,26,650000.0,2250000.0,3000000.0,805634.3919585668,1983,2003,2350000.0,0.35805972975936307,1.0444444444444445
NISSAN,NOTE E-POWER,26,8700000.0,14321000.0,16304000.0,1528813.4765738584,2017,2025,7604000.0,0.10675326280105149,0.5309685077857691
AUDI,A3 SEDAN,25,16928000.0,18900000.0,21248000.0,1158805.2640543198,2023,2025,4320000.0,0.06131244783356189,0.22857142857142856
AUDI,A4 PREMIUM PLUS,25,21855000.0,25728000.0,28212000.0,1889589.4995121723,2023,2025,6357000.0,0.07344486549720819,0.2470848880597015
AUDI,A5 PREMIUM PLUS,25,26288000.0,29756000.0,34185000.0,2091461.9304846711,2023,2025,7897000.0,0.07028706581814327,0.26539185374378277
AUDI,A6 EXECUTIVE,25,34347000.0,37269000.0,44742000.0,2721074.2866252945,2023,2025,10395000.0,0.07301173325351618,0.27891813571601065
AUDI,Q3 SPORTBACK,25,18534000.0,21024000.0,23674000.0,1341803.9995965625,2023,2025,5140000.0,0.06382248856528551,0.24448249619482496
AUDI,Q3 SPORTBACK PREMIUM,25,18528000.0,20763000.0,23817000.0,1393579.829073312,2023,2025,5289000.0,0.06711842359357087,0.2547319751481
AUDI,Q3 SPORTBACK S LINE,25,22168000.0,25488000.0,28347000.0,1592275.7560590226,2023,2025,6179000.0,0.06247158490501501,0.2424278091650973
AUDI,Q5,25,29552000.0,34486000.0,40609000.0,2705250.202846309,2023,2025,11057000.0,0.07844488206362898,0.3206228614510236
AUDI,Q5 SPORT,25,31910000.0,35184000.0,40035000.0,2272722.0815577074,2023,2025,8125000.0,0.06459532973958923,0.2309288312869486
AUDI,Q5 STANDARD,25,28690000.0,32605000.0,35276000.0,1923683.4259652318,2023,2025,6586000.0,0.058999645022703016,0.2019935592700506
AUDI,Q6 E-TRON QUATTRO,25,43350000.0,47292000.0,50930000.0,2252043.2559492835,2024,2025,7580000.0,0.04761996227584546,0.16028080859341962
BMW,1 SERIES 118I,25,16172000.0,19101000.0,21151000.0,1165414.6658307225,2023,2026,4979000.0,0.06101328023824525,0.26066698078634626
